ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
SBRKF,SpareBank 1 SR-Bank ASA,2019-02-08T02:00:00.000Z,TAS,2.09,2.06,-1.48,EST,-18000000,EQUITY
UEPS,'Net 1 UEPS Technologies, Inc.',2019-02-07T16:22:00.000Z,TAS,-0.03,-0.88,-2833.33,EST,-18000000,EQUITY
SPRBF,SpareBank 1 Østlandet,2019-02-08T02:03:00.000Z,TAS,1.97,1.61,-18.07,EST,-18000000,EQUITY
DDRLF,The Drilling Company of 1972 A/S,2019-02-07T08:01:00.000Z,TAS,,,,EST,-18000000,EQUITY
DIDAF,'Distribuidora Internacional de Alimentación, S.A.',2019-02-08T02:51:00.000Z,TAS,,,,EST,-18000000,EQUITY
DEUBF,Deutsche Beteiligungs AG,2019-02-07T08:11:00.000Z,TAS,,-1.42,,UTC,0,EQUITY
SEE,Sealed Air Corporation,2019-02-07T07:00:00.000Z,TAS,0.67,0.75,11.61,EST,-18000000,EQUITY
HBGRF,Heidelberger Druckmaschinen Aktiengesellschaft,2019-02-07T07:56:00.000Z,TAS,,0.01,,EST,-18000000,EQUITY
HBGRY,Heidelberger Druckmaschinen Aktiengesellschaft,2019-02-07T07:56:00.000Z,TAS,,0.01,,EST,-18000000,EQUITY
LH,Laboratory Corporation of America Holdings,2019-02-07T06:55:00.000Z,TAS,2.49,2.52,1.33,EST,-18000000,EQUITY
ARHUF,AAK AB (publ.),2019-02-08T02:50:00.000Z,TAS,1.36,1.39,2.21,EST,-18000000,EQUITY
AYTU,'Aytu BioPharma, Inc.',2019-02-07T08:45:00.000Z,TAS,-3.95,-7.2,-82.28,EST,-18000000,EQUITY
APDN,'Applied DNA Sciences, Inc.',2019-02-07T16:06:00.000Z,TAS,-3.2,-4.4,-37.5,EST,-18000000,EQUITY
AKRTF,Aker Solutions ASA,2019-02-08T01:00:00.000Z,TAS,0.49,0.63,27.53,EST,-18000000,EQUITY
CBLAQ,'CBL & Associates Properties, Inc.',2019-02-07T16:15:00.000Z,TAS,0.01,-0.39,-5671.43,UTC,0,EQUITY
ARW,'Arrow Electronics, Inc.',2019-02-07T08:00:00.000Z,TAS,2.56,2.57,0.59,EST,-18000000,EQUITY
